sample,slice,method,porosity,pore_count,mean_pore_area_px,mean_pore_area_um2,mean_equivalent_diameter_px,mean_equivalent_diameter_um
sample_01,set1sample2raw_0450,otsu,0.241551,4,59771.75,59771.75,140.3419,140.3419
sample_01,set1sample2raw_0450,yen,0.684716,2209,305.3925,305.3925,5.2865,5.2865
sample_01,set1sample2raw_0450,bernsen,0.242399,24,9996.042,9996.042,29.0115,29.0115
sample_02,set1sample3raw_0450,otsu,0.287882,428,672.6238,672.6238,9.6048,9.6048
sample_02,set1sample3raw_0450,yen,0.643628,454,1417.0551,1417.0551,10.9635,10.9635
sample_02,set1sample3raw_0450,bernsen,0.33401,511,653.8513,653.8513,11.8372,11.8372
sample_03,set1sample4raw_0450,otsu,0.247095,19,12924.4209,12924.4209,36.7942,36.7942
sample_03,set1sample4raw_0450,yen,0.740163,1987,368.9774,368.9774,5.5801,5.5801
sample_03,set1sample4raw_0450,bernsen,0.249375,52,4764.0,4764.0,16.7995,16.7995
sample_04,set1sample5raw_0374,otsu,0.247044,33,7438.9092,7438.9092,22.1718,22.1718
sample_04,set1sample5raw_0374,yen,0.657969,1307,498.3787,498.3787,5.7557,5.7557
sample_04,set1sample5raw_0374,bernsen,0.258154,139,1845.0719,1845.0719,11.2138,11.2138
sample_05,set1sample6raw_0450,otsu,0.816047,32,25419.2188,25419.2188,40.6015,40.6015
sample_05,set1sample6raw_0450,yen,0.77807,48,16156.9795,16156.9795,30.4878,30.4878
sample_05,set1sample6raw_0450,bernsen,0.82073,34,24061.5,24061.5,36.5864,36.5864
